ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1016,F,Ship,3,4,186,2,low,M,63,3447,1
1017,A,Ship,4,1,167,3,high,F,22,1403,1
1018,B,Ship,3,3,148,2,low,M,42,1950,1
1019,C,Ship,3,2,167,2,low,M,2,1010,1
1020,F,Ship,3,2,261,5,medium,M,45,2488,1
1021,D,Ship,3,4,166,3,medium,M,43,1095,1
1022,F,Ship,3,1,226,2,low,M,18,2319,1
1023,A,Ship,3,4,260,3,low,F,21,2003,1
1024,B,Ship,5,1,246,3,medium,F,44,3993,1
1025,C,Ship,3,2,221,3,low,F,21,3686,1
1026,F,Ship,5,4,191,4,medium,M,63,2039,1
1027,D,Ship,3,1,138,5,medium,F,8,1349,1
1028,F,Ship,3,1,146,3,medium,M,16,1714,1
1029,A,Ship,3,3,193,3,medium,M,11,3188,1
1030,B,Ship,3,1,229,2,medium,F,12,3111,1
1031,C,Ship,4,1,239,2,high,M,16,2504,1
1032,F,Ship,6,2,103,4,medium,M,37,1093,1
1033,D,Ship,5,4,254,5,low,F,36,2039,1
1034,F,Ship,2,2,198,2,low,M,11,3686,1
1035,A,Ship,3,3,208,3,medium,M,61,3783,1
1036,B,Ship,3,5,253,2,medium,M,17,2205,1
1037,C,Ship,4,3,261,2,high,M,47,2336,1
1038,F,Ship,3,1,156,3,medium,M,49,1253,1
1039,D,Ship,4,3,97,2,low,M,26,1598,1
1040,F,Ship,2,5,275,2,low,M,41,2546,1
1041,A,Ship,2,1,189,2,high,M,48,2429,1
1042,B,Ship,3,1,236,3,medium,M,28,3290,1
1043,C,Ship,5,1,170,3,medium,F,60,1883,1
1044,F,Ship,4,2,251,2,low,M,53,2673,1
1045,D,Ship,3,3,205,2,medium,F,58,2187,1
1046,F,Ship,4,5,135,3,medium,F,53,1744,1
1047,A,Ship,3,3,231,2,medium,F,24,2177,1
1048,B,Ship,3,4,257,3,medium,M,56,2941,1
1049,C,Ship,5,2,162,3,high,M,57,1233,1
1050,F,Ship,6,5,237,5,high,F,63,2573,1
1051,D,Ship,3,4,134,4,medium,M,53,1887,1
1052,F,Ship,2,1,163,3,medium,F,24,1119,1
1053,A,Ship,5,5,264,3,medium,F,27,2019,1
1054,B,Ship,5,2,173,4,low,M,21,1674,1
1055,C,Ship,2,4,191,3,low,F,58,2586,1
1056,F,Ship,3,3,152,3,medium,M,5,1385,1
1057,D,Ship,3,4,272,4,low,F,23,2048,1
1058,F,Ship,4,2,198,2,low,M,60,3368,1
1059,A,Ship,4,3,260,4,medium,M,40,3668,1
1060,B,Ship,4,3,158,6,medium,M,43,1478,1
1061,C,Ship,5,3,252,4,medium,M,63,3729,1
1062,F,Ship,4,2,199,3,low,M,64,2470,1
1063,D,Ship,4,2,272,4,low,M,62,2307,1
1064,F,Ship,3,4,209,3,low,M,37,2215,1
1065,A,Ship,3,2,147,4,low,M,13,1657,1
1066,B,Ship,4,2,166,4,low,F,63,1759,1
1067,C,Ship,3,4,165,2,low,M,48,1706,1
1068,F,Ship,4,5,162,2,medium,F,57,1715,1
1069,D,Ship,3,3,255,3,medium,M,23,3764,1
1070,F,Road,5,5,179,5,low,M,38,1437,1
1071,A,Road,3,4,250,2,high,M,61,3207,1
1072,B,Road,3,5,251,2,low,F,28,3936,1
1073,C,Road,4,4,198,2,low,F,5,2270,1
1074,F,Road,3,1,148,2,medium,M,34,1053,1
1075,D,Road,4,5,268,3,medium,F,3,2758,1
1076,F,Road,5,2,239,3,low,F,47,3673,1
1077,A,Road,3,4,195,3,medium,M,10,2021,1
1078,B,Road,4,3,252,2,medium,F,51,2658,1
1079,C,Road,3,5,272,3,medium,M,48,3780,1
1080,F,Road,2,4,141,3,medium,F,27,1628,1
1081,D,Road,3,1,224,3,low,F,45,3624,1
1082,F,Road,6,3,270,3,low,F,56,3251,1
1083,A,Road,6,3,236,3,medium,M,6,2639,1
1084,B,Road,3,1,227,3,medium,F,47,3512,1
1085,C,Road,3,4,262,3,low,M,7,2424,1
1086,F,Road,3,1,228,2,low,M,45,2257,1
1087,D,Road,4,2,176,3,low,M,23,1909,1
1088,F,Road,4,2,147,3,medium,M,44,1873,1
1089,A,Road,5,2,196,3,medium,M,44,2085,1
1090,B,Road,3,1,112,5,medium,F,41,1249,1
1091,C,Road,4,2,221,2,medium,M,54,3065,1
1092,F,Flight,3,5,154,3,medium,M,46,1312,1
1093,D,Flight,4,4,200,3,low,M,19,2976,1
1094,F,Flight,2,5,216,2,medium,F,57,3807,1
1095,A,Flight,3,1,185,3,medium,M,3,3051,1
1096,B,Flight,4,2,199,3,low,M,23,2994,1
1097,C,Flight,5,2,265,3,low,F,12,2892,1
1098,F,Flight,3,2,263,3,low,F,57,2113,1
1099,D,Flight,4,2,181,2,low,F,28,2815,1
1100,F,Flight,4,3,163,2,low,F,12,1092,1
1101,A,Flight,5,2,260,2,medium,M,23,3962,1
1102,B,Flight,6,2,159,5,medium,F,22,1247,1
1103,C,Flight,4,1,227,3,medium,M,54,3043,1
1104,F,Flight,3,3,104,5,medium,F,41,1936,1
1105,D,Flight,3,4,188,4,low,F,49,3067,1
1106,F,Flight,5,3,202,3,high,M,41,3536,1
1107,A,Flight,3,3,213,6,low,F,17,2424,1
1108,B,Flight,3,1,211,2,low,F,45,3332,1
1109,C,Flight,4,4,232,3,medium,F,61,2484,1
1110,F,Flight,4,3,143,2,high,M,39,1727,1
1111,D,Flight,5,1,196,3,medium,M,24,2957,1
1112,F,Flight,4,1,150,6,medium,F,42,1070,1
1113,A,Flight,5,1,222,3,high,M,21,2351,1
1114,B,Ship,3,2,203,3,high,M,3,2791,1
1115,C,Ship,5,2,178,3,medium,M,60,1176,1
1116,F,Ship,4,2,272,2,low,M,21,3271,1
1117,D,Ship,4,2,182,3,low,M,58,3943,1
1118,F,Ship,4,4,205,3,low,F,11,2255,1
1119,A,Ship,3,2,171,3,medium,M,11,1282,1
1120,B,Ship,4,1,172,2,low,M,48,1993,1
1121,C,Ship,3,2,210,2,medium,M,30,3928,1
1122,F,Ship,2,1,264,3,medium,M,10,3409,1
1123,D,Ship,4,1,181,4,low,F,46,2399,1
1124,F,Ship,3,5,240,3,medium,F,54,2919,1
1125,A,Ship,4,4,140,4,medium,F,46,1442,1
1126,B,Ship,6,4,283,5,medium,F,35,2686,1
1127,C,Ship,4,3,263,4,medium,M,23,2960,1
1128,F,Ship,4,4,136,3,high,F,35,1234,1
1129,D,Ship,4,4,145,4,low,F,35,1210,1
1130,F,Ship,3,3,162,2,low,F,42,1763,1
1131,A,Ship,5,1,230,6,low,F,60,2067,1
1132,B,Ship,3,3,148,5,medium,M,61,1452,1
1133,C,Ship,3,3,175,3,high,F,45,1212,1
1134,F,Ship,4,2,227,2,high,M,35,3583,1
1135,D,Ship,4,1,177,4,low,F,13,1569,1
1136,F,Ship,6,1,257,3,medium,M,60,3416,1
1137,A,Ship,5,5,198,5,medium,M,36,2803,1
1138,B,Ship,3,5,251,3,medium,M,59,3651,1
1139,C,Ship,5,5,158,3,medium,F,47,1246,1
1140,F,Ship,4,5,171,6,medium,F,27,1840,1
1141,D,Ship,4,1,260,2,low,M,2,2980,1
1142,F,Ship,3,4,263,3,low,M,42,2992,1
1143,A,Ship,6,3,269,2,high,M,43,2300,1
1144,B,Ship,3,3,224,2,low,F,37,3220,1
1145,C,Ship,4,1,118,5,low,M,50,1413,1
1146,F,Ship,5,1,186,10,low,M,64,2529,1
1147,D,Ship,5,5,191,2,high,M,34,2708,1
1148,F,Ship,5,5,174,6,medium,F,26,1184,1
1149,A,Ship,3,1,140,2,medium,F,55,1339,1
1150,B,Ship,4,2,193,2,high,F,48,2371,1
1151,C,Ship,3,4,148,10,high,F,12,1779,1
1152,F,Ship,2,2,176,5,low,F,55,1211,1
1153,D,Ship,4,1,135,10,medium,M,35,1989,1
1154,F,Ship,6,5,154,10,medium,F,48,1990,1
1155,A,Ship,4,5,143,8,low,M,44,1756,1
1156,B,Ship,4,3,173,2,low,F,10,1179,1
1157,C,Ship,4,5,262,3,medium,F,38,3139,1
1158,F,Ship,4,1,171,3,low,F,58,1516,1
1159,D,Ship,4,3,246,2,low,M,55,2387,1
1160,F,Ship,3,4,266,2,high,F,55,2779,1
1161,A,Ship,4,5,127,8,low,M,39,1411,1
1162,B,Ship,5,2,167,8,low,M,28,1921,1
1163,C,Ship,4,2,187,4,medium,M,37,2200,1
1164,F,Ship,3,2,162,2,low,F,54,1614,1
1165,D,Ship,5,2,230,6,low,M,10,3604,1
1166,F,Ship,3,4,148,5,medium,F,50,1540,1
1167,A,Ship,3,3,175,3,high,F,55,1229,1
1168,B,Ship,4,1,227,2,high,M,60,3080,1
1169,C,Ship,4,3,177,4,low,M,38,1767,1
1170,F,Ship,6,1,257,3,medium,M,37,2239,1
1171,D,Ship,5,1,198,5,medium,F,49,3187,1
1172,F,Ship,3,1,251,3,medium,F,18,2240,1
1173,A,Ship,5,2,158,3,medium,M,16,1499,1
1174,B,Ship,4,3,171,6,medium,F,9,1909,1
1175,C,Ship,4,3,260,2,low,M,38,2526,1
1176,F,Ship,3,1,263,3,low,M,25,3689,1
1177,D,Ship,6,4,269,2,high,M,47,4000,1
1178,F,Ship,3,2,224,2,low,F,49,3749,1
1179,A,Ship,4,3,118,5,low,F,15,1601,1
1180,B,Ship,5,4,186,10,low,F,24,3621,1
1181,C,Ship,5,2,191,2,high,F,6,2059,1
1182,F,Ship,5,1,174,6,medium,M,44,1635,1
1183,D,Ship,3,3,140,2,medium,M,55,1847,1
1184,F,Ship,4,1,193,2,high,M,37,3510,1
1185,A,Ship,3,5,148,10,high,F,35,1597,1
1186,B,Ship,2,3,176,5,low,M,29,1254,1
1187,C,Ship,4,4,135,10,medium,F,57,1361,1
1188,F,Ship,6,5,154,10,medium,F,14,1204,1
1189,D,Ship,4,5,143,8,low,M,38,1095,1
1190,F,Ship,4,2,173,2,low,F,30,1336,1
1191,A,Ship,4,3,262,3,medium,M,46,2904,1
1192,B,Ship,4,5,171,3,low,F,21,1683,1
1193,C,Ship,4,4,246,2,low,M,11,2282,1
1194,F,Ship,3,4,266,2,high,M,49,2643,1
1195,D,Ship,4,1,127,8,low,F,12,1519,1
1196,F,Ship,5,5,167,8,low,M,44,1547,1
1197,A,Ship,4,2,187,4,medium,M,49,3225,1
1198,B,Ship,6,2,294,4,low,M,35,1625,1
1199,C,Ship,4,2,158,4,low,F,13,1785,1
1200,F,Ship,6,5,135,5,low,M,55,1078,1
1201,D,Ship,4,2,238,3,low,F,28,1915,1
1202,F,Ship,6,1,213,3,low,M,63,1548,1
1203,A,Ship,4,4,237,2,medium,M,21,1495,1
1204,B,Ship,4,1,257,3,low,M,47,1308,1
1205,C,Ship,5,2,198,5,low,M,65,1994,1
1206,F,Ship,3,3,218,3,medium,M,48,3425,1
1207,D,Road,4,4,236,4,low,M,65,2280,1
1208,F,Road,3,1,100,3,low,F,17,1129,1
1209,A,Road,3,1,154,2,low,F,44,1994,1
1210,B,Road,5,1,238,3,low,M,32,3832,1
1211,C,Road,5,5,128,5,low,M,34,1008,1
1212,F,Road,4,1,140,3,medium,M,9,1431,1
1213,D,Road,2,4,187,3,low,M,50,3878,1
1214,F,Road,4,3,256,3,low,F,15,3155,1
1215,A,Road,3,3,270,4,low,F,18,2397,1
1216,B,Road,4,2,202,2,low,F,45,3008,1
1217,C,Road,3,5,256,3,low,F,62,2971,1
1218,F,Road,4,3,135,2,medium,F,37,1597,1
1219,D,Road,4,4,184,4,medium,M,8,2306,1
1220,F,Road,5,5,169,4,medium,F,23,1922,1
1221,A,Road,3,2,178,4,medium,F,48,1079,1
1222,B,Road,4,5,265,3,medium,F,41,3101,1
1223,C,Road,4,3,217,2,medium,M,22,2138,1
1224,F,Road,3,1,258,2,medium,M,11,2791,1
1225,D,Road,3,3,218,2,medium,M,9,2069,1
1226,F,Road,3,1,135,2,medium,M,7,1316,1
1227,A,Road,3,3,150,2,medium,F,61,1053,1
1228,B,Road,3,4,200,3,medium,F,49,2942,1
1229,C,Flight,6,1,136,3,high,M,12,1592,1
1230,F,Flight,3,2,119,2,low,M,32,1791,1
1231,D,Flight,5,4,212,6,medium,F,5,2041,1
1232,F,Flight,4,2,272,2,low,M,57,2377,1
1233,A,Flight,4,2,166,3,low,M,5,1610,1
1234,B,Flight,3,5,176,3,high,F,1,1982,1
1235,C,Flight,2,3,280,4,low,M,17,3555,1
1236,F,Flight,3,2,169,2,medium,F,19,1922,1
1237,D,Flight,3,1,231,6,medium,F,64,3627,1
1238,F,Flight,4,1,140,2,low,F,5,1274,1
1239,A,Flight,3,5,183,3,medium,F,44,3158,1
1240,B,Flight,4,5,157,3,medium,M,28,1557,1
1241,C,Flight,4,5,210,4,medium,F,28,3905,1
1242,F,Flight,4,5,227,4,low,F,20,2217,1
1243,D,Flight,4,1,250,2,medium,M,45,3021,1
1244,F,Flight,6,3,171,5,high,M,61,1947,1
1245,A,Flight,4,2,136,2,medium,F,17,1285,1
1246,B,Flight,4,3,258,3,medium,M,58,2579,1
1247,C,Flight,6,2,271,5,low,M,14,2514,1
1248,F,Flight,4,4,197,3,low,F,29,2915,1
1249,D,Flight,5,2,217,3,low,M,27,2999,1
1250,F,Flight,4,1,247,3,low,F,9,2414,1
1251,A,Ship,4,4,192,4,medium,F,46,3599,1
1252,B,Ship,3,1,254,3,medium,M,6,3496,1
1253,C,Ship,5,5,226,3,medium,F,65,3840,1
1254,F,Ship,5,3,197,2,low,F,48,2481,1
1255,D,Ship,3,1,203,4,medium,M,12,2779,1
1256,F,Ship,4,5,196,3,medium,M,16,3722,1
1257,A,Ship,2,2,180,3,low,M,33,1217,1
1258,B,Ship,3,5,219,3,low,F,54,3145,1
1259,C,Ship,4,4,266,2,low,F,15,3425,1
1260,F,Ship,5,1,144,2,low,F,20,1082,1
1261,D,Ship,5,3,197,2,low,F,12,3400,1
1262,F,Ship,4,1,258,3,medium,F,4,3686,1
1263,A,Ship,3,3,187,3,low,F,63,2481,1
1264,B,Ship,5,4,184,3,low,M,9,3332,1
1265,C,Ship,4,3,142,2,medium,F,63,1615,1
1266,F,Ship,3,5,283,5,low,F,50,2848,1
1267,D,Ship,4,2,221,2,low,F,13,3097,1
1268,F,Ship,3,2,233,5,low,M,44,2010,1
1269,A,Ship,6,4,129,5,low,F,58,1463,1
1270,B,Ship,3,4,154,2,medium,F,43,1542,1
1271,C,Ship,4,4,158,3,medium,M,63,1387,1
1272,F,Ship,5,3,236,6,medium,M,9,3715,1
1273,D,Ship,3,5,257,3,low,F,52,2170,1
1274,F,Ship,4,5,160,3,medium,M,50,1511,1
1275,A,Ship,4,2,255,4,low,F,62,3198,1
1276,B,Ship,4,3,210,2,medium,M,22,3124,1
1277,C,Ship,5,3,169,4,medium,F,37,1290,1
1278,F,Ship,3,1,275,2,high,F,1,2597,1
1279,D,Ship,3,2,185,3,medium,M,47,2467,1
1280,F,Ship,3,2,213,2,medium,F,54,2809,1
1281,A,Ship,3,4,179,3,high,M,57,1582,1
1282,B,Ship,3,3,110,3,low,M,7,1235,1
1283,C,Ship,3,4,216,3,low,F,41,2042,1
1284,F,Ship,4,1,267,3,medium,M,37,2716,1
1285,D,Ship,5,4,214,2,medium,F,1,3709,1
1286,F,Ship,5,2,196,3,low,M,38,2211,1
1287,A,Ship,2,2,192,2,low,F,8,3127,1
1288,B,Ship,4,1,191,3,low,M,4,2724,1
1289,C,Ship,3,4,222,3,medium,M,57,2714,1
1290,F,Ship,3,3,141,3,medium,M,10,1751,1
1291,D,Ship,4,3,242,3,low,M,1,2808,1
1292,F,Ship,3,4,212,2,high,M,13,2733,1
1293,A,Ship,5,5,133,3,medium,F,21,1648,1
1294,B,Ship,5,5,254,5,low,F,35,2508,1
1295,C,Ship,4,3,190,3,medium,F,2,2125,1
1296,F,Ship,5,3,185,3,low,M,25,2503,1
1297,D,Ship,3,5,191,3,medium,M,54,3890,1
1298,F,Ship,4,4,158,2,medium,M,15,1030,1
1299,A,Ship,3,5,171,3,low,F,49,1333,1
1300,B,Ship,3,4,160,2,medium,M,32,1085,1
1301,C,Ship,4,2,235,3,low,F,21,3088,1
1302,F,Ship,4,4,247,3,low,M,55,2361,1
1303,D,Ship,4,1,152,3,medium,F,65,1706,1
1304,F,Ship,4,3,138,3,medium,M,15,1080,1
1305,A,Ship,5,4,270,2,high,F,43,2971,1
1306,B,Ship,6,1,193,4,medium,M,8,2952,1
1307,C,Ship,4,3,252,2,medium,M,1,2336,1
1308,F,Ship,3,1,203,2,medium,F,51,3976,1
1309,D,Ship,5,4,141,3,medium,M,64,1677,1
1310,F,Ship,4,3,197,3,low,F,20,3617,1
1311,A,Ship,6,2,142,3,low,F,54,1332,1
1312,B,Ship,3,4,161,3,low,F,25,1048,1
1313,C,Ship,2,2,139,3,medium,F,23,1283,1
1314,F,Ship,2,5,186,2,low,M,17,3896,1
1315,D,Ship,5,3,190,3,low,M,52,2611,1
1316,F,Ship,5,3,186,4,low,M,23,3981,1
1317,A,Ship,3,2,181,3,low,F,29,2164,1
1318,B,Ship,4,4,111,6,low,M,8,1145,1
1319,C,Ship,2,3,159,3,medium,M,62,1124,1
1320,F,Ship,4,3,205,3,medium,F,44,2291,1
1321,D,Ship,5,1,134,3,high,F,12,1775,1
1322,F,Ship,3,1,191,3,low,F,4,3947,1
1323,A,Ship,2,3,141,2,medium,F,28,1624,1
1324,B,Ship,5,1,225,2,medium,M,31,3454,1
1325,C,Ship,3,5,171,3,medium,F,24,1300,1
1326,F,Ship,4,3,286,5,low,M,37,2938,1
1327,D,Ship,3,1,255,5,low,F,1,2713,1
1328,F,Ship,4,5,113,6,medium,M,25,1538,1
1329,A,Ship,5,1,201,3,medium,F,65,2488,1
1330,B,Ship,3,1,184,3,medium,F,49,2823,1
1331,C,Ship,3,1,199,2,medium,F,18,3346,1
1332,F,Ship,4,4,255,2,medium,M,29,2267,1
1333,D,Ship,4,5,269,4,medium,M,60,3456,1
1334,F,Ship,5,5,260,2,low,F,23,3065,1
1335,A,Ship,3,1,198,4,medium,F,44,2848,1
1336,B,Ship,4,2,256,2,medium,M,10,3128,1
1337,C,Ship,3,1,140,4,low,M,27,1184,1
1338,F,Ship,3,4,165,4,medium,F,7,1627,1
1339,D,Ship,3,3,144,3,low,M,1,1274,1
1340,F,Ship,2,2,240,3,low,M,53,2980,1
1341,A,Ship,4,2,183,4,low,M,15,3632,1
1342,B,Ship,5,3,201,2,low,M,4,3757,1
1343,C,Ship,4,4,216,2,medium,F,6,3255,1
1344,F,Road,4,5,218,3,low,M,25,2682,1
1345,D,Road,3,4,147,3,low,F,2,1307,1
1346,F,Road,3,5,264,2,medium,F,1,3947,1
1347,A,Road,4,4,145,3,low,F,43,1651,1
1348,B,Road,3,5,264,6,low,M,30,2751,1
1349,C,Road,4,5,253,2,medium,F,43,2589,1
1350,F,Road,2,4,257,6,low,M,5,3986,1
1351,D,Road,4,1,202,3,high,M,59,2563,1
1352,F,Road,5,5,245,4,medium,F,12,2225,1
1353,A,Road,4,1,162,2,low,F,47,1540,1
1354,B,Road,3,2,158,3,medium,F,39,1512,1
1355,C,Road,3,1,182,3,medium,F,40,3536,1
1356,F,Road,3,4,218,3,medium,F,4,3534,1
1357,D,Road,4,5,201,3,medium,M,41,3563,1
1358,F,Road,5,1,184,4,medium,F,38,2232,1
1359,A,Road,4,1,241,3,medium,F,61,3812,1
1360,B,Road,5,5,263,2,medium,M,59,3238,1
1361,C,Road,5,5,230,2,medium,F,36,3381,1
1362,F,Road,3,4,240,3,low,F,28,2356,1
1363,D,Road,4,5,233,3,medium,F,43,3856,1
1364,F,Road,4,3,237,2,medium,M,22,2912,1
1365,A,Road,5,4,144,3,low,F,59,1178,1
1366,B,Flight,3,1,167,3,low,M,1,1252,1
1367,C,Flight,4,5,138,3,low,F,64,1708,1
1368,F,Flight,5,3,165,2,medium,M,51,1429,1
1369,D,Flight,4,3,247,4,low,F,19,3838,1
1370,F,Flight,3,2,152,6,low,F,7,1674,1
1371,A,Flight,5,3,199,4,low,F,24,3473,1
1372,B,Flight,5,4,268,3,medium,M,6,2206,1
1373,C,Flight,4,5,150,2,low,F,30,1782,1
1374,F,Flight,5,5,190,4,medium,F,47,3644,1
1375,D,Flight,4,3,153,4,low,M,36,1171,1
1376,F,Flight,4,2,185,3,low,M,27,3410,1
1377,A,Flight,5,1,274,3,medium,M,58,2098,1
1378,B,Flight,4,3,258,2,high,M,11,2252,1
1379,C,Flight,3,1,110,3,low,F,54,1155,1
1380,F,Flight,3,5,240,6,low,M,21,3559,1
1381,D,Flight,6,5,118,2,low,F,6,1726,1
1382,F,Flight,3,2,243,2,low,F,38,3850,1
1383,A,Flight,6,2,225,6,low,M,44,2057,1
1384,B,Flight,3,2,238,4,medium,F,49,3179,1
1385,C,Flight,4,4,127,5,low,F,16,1955,1
1386,F,Flight,3,5,166,2,low,M,45,1665,1
1387,D,Flight,3,1,180,3,low,F,29,1414,1
1388,F,Ship,4,4,161,2,medium,M,59,1941,1
1389,A,Ship,5,1,230,3,low,F,43,2994,1
1390,B,Ship,5,3,167,3,low,F,51,1573,1
1391,C,Ship,4,5,186,3,low,F,16,2693,1
1392,F,Ship,4,4,150,3,high,M,9,1620,1
1393,D,Ship,4,1,253,7,medium,M,37,2955,1
1394,F,Ship,5,2,239,2,medium,F,59,2897,1
1395,A,Ship,6,2,294,4,low,M,57,1265,1
1396,B,Ship,4,2,158,4,low,F,45,1758,1
1397,C,Ship,6,3,135,5,low,F,20,1266,1
1398,F,Ship,4,2,238,3,low,F,28,1040,1
1399,D,Ship,6,3,213,3,low,M,17,1656,1
1400,F,Ship,5,2,165,2,medium,F,18,1918,1
1401,A,Ship,4,3,247,4,low,M,16,2362,1
1402,B,Ship,3,5,152,6,low,F,32,1158,1
1403,C,Ship,5,4,199,4,low,M,24,3443,1
1404,F,Ship,5,2,268,3,medium,F,41,3716,1
1405,D,Ship,4,3,150,2,low,M,51,1491,1
1406,F,Ship,5,1,190,4,medium,M,24,3446,1
1407,A,Ship,4,1,153,4,low,M,7,1130,1
1408,B,Ship,4,4,185,3,low,M,13,2080,1
1409,C,Ship,5,3,274,3,medium,F,54,2905,1
1410,F,Ship,4,5,258,2,high,M,5,3512,1
1411,D,Ship,3,4,110,3,low,F,55,1281,1
1412,F,Ship,3,2,240,6,low,F,26,2683,1
1413,A,Ship,6,2,118,2,low,F,2,1744,1
1414,B,Ship,3,4,243,2,low,F,14,3693,1
1415,C,Ship,6,5,225,6,low,F,55,2052,1
1416,F,Ship,3,3,238,4,medium,M,57,3537,1
1417,D,Ship,4,3,127,5,low,F,5,1205,1
1418,F,Ship,3,3,166,2,low,F,45,1791,1
1419,A,Ship,3,5,180,3,low,M,6,1228,1
1420,B,Ship,4,5,161,2,medium,M,55,1457,1
1421,C,Ship,5,4,230,3,low,F,39,3989,1
1422,F,Ship,5,5,167,3,low,F,53,1564,1
1423,D,Ship,4,3,186,3,low,F,25,3851,1
1424,F,Ship,4,2,150,3,high,F,32,1689,1
1425,A,Ship,4,5,253,7,medium,F,11,3825,1
1426,B,Ship,5,2,239,2,medium,F,15,2471,1
1427,C,Ship,6,3,294,4,low,M,52,1667,1
1428,F,Ship,4,5,158,4,low,F,4,1595,1
1429,D,Ship,6,2,135,5,low,M,26,1585,1
1430,F,Ship,4,5,238,3,low,M,9,1724,1
1431,A,Ship,6,2,265,3,low,M,3,1904,1
1432,B,Ship,5,5,180,5,medium,M,35,1725,1
1433,C,Ship,7,2,229,3,low,F,43,1793,1
1434,F,Ship,3,2,176,3,low,M,51,1297,1
1435,D,Ship,3,5,172,2,medium,M,60,1840,1
1436,F,Ship,6,5,100,4,medium,F,3,1440,1
1437,A,Ship,4,3,142,6,low,M,6,1459,1
1438,B,Ship,4,3,153,3,medium,M,2,1095,1
1439,C,Ship,3,4,160,4,low,F,56,1408,1
1440,F,Ship,4,3,217,3,medium,F,16,3444,1
1441,D,Ship,3,2,273,3,low,M,41,3464,1
1442,F,Ship,3,4,133,3,low,M,17,1187,1
1443,A,Ship,3,4,155,4,low,M,54,1885,1
1444,B,Ship,5,3,184,4,medium,F,2,3798,1
1445,C,Ship,5,5,230,3,medium,M,43,3609,1
1446,F,Ship,3,4,254,3,high,M,53,3538,1
1447,D,Ship,4,5,108,6,medium,M,46,1882,1
1448,F,Ship,4,4,154,3,low,M,52,1367,1
1449,A,Ship,5,3,177,3,low,F,1,1916,1
1450,B,Ship,3,3,162,2,medium,M,65,1184,1
1451,C,Ship,3,4,285,6,low,F,27,2249,1
1452,F,Ship,3,2,257,3,low,F,6,3620,1
1453,D,Ship,4,5,143,3,low,F,48,1922,1
1454,F,Ship,6,3,223,6,medium,M,29,2980,1
1455,A,Ship,3,5,230,2,low,M,27,3840,1
1456,B,Ship,4,5,241,4,medium,M,58,2874,1
1457,C,Ship,3,5,156,3,medium,M,44,1424,1
